#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.63976     1.63976           0
           2      1.6573     1.64853  0.00620367
           3     1.65351     1.65019  0.00435177
           4     1.69304      1.6609  0.00983588
           5     1.64718     1.65816   0.0082429
           6     1.65151     1.65705  0.00694318
           7     1.65314     1.65649  0.00597371
           8     1.68305     1.65981  0.00608018
           9     1.67357     1.66134  0.00559361
          10     1.68802     1.66401  0.00563475
          11      1.6181     1.65984  0.00648632
          12      1.6615     1.65997  0.00594727
          13     1.66221     1.66015  0.00549228
          14     1.64896     1.65935  0.00515781
          15     1.64607     1.65846  0.00488931
          16     1.71193      1.6618  0.00561064
          17      1.6566      1.6615  0.00528895
          18     1.69433     1.66332  0.00530037
          19     1.69111     1.66478  0.00521931
          20     1.66195     1.66464  0.00496027
          21     1.69848     1.66625  0.00497883
          22     1.68755     1.66722  0.00484575
          23     1.65479     1.66668  0.00466514
          24     1.68213     1.66733  0.00451497
          25     1.65489     1.66683  0.00436167
          26     1.64987     1.66618  0.00424241
          27     1.67375     1.66646  0.00409456
          28     1.66916     1.66655  0.00394947
          29     1.64451     1.66579   0.0038857
          30     1.64597     1.66513  0.00381194
