#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -276.811    -276.811           0
           2    -276.782    -276.796   0.0101565
           3    -276.744    -276.779   0.0158024
           4    -276.726    -276.766   0.0164455
           5    -276.706    -276.754   0.0169203
           6    -276.677    -276.741   0.0183603
           7    -276.639    -276.727   0.0206903
           8    -276.612    -276.712   0.0225518
           9    -276.589    -276.698   0.0238308
          10    -276.563    -276.685   0.0249906
          11    -276.532    -276.671   0.0262856
          12    -276.518    -276.658   0.0270127
          13    -276.519    -276.648   0.0269685
          14     -276.52    -276.639   0.0265419
          15    -276.511     -276.63   0.0261073
          16    -276.519    -276.623   0.0253813
          17    -276.531    -276.618   0.0244653
          18     -276.52    -276.612   0.0236995
          19    -276.502    -276.606   0.0231499
          20    -276.484      -276.6   0.0227905
