#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         146    -5.45754    -5.45546 7.03215e-05
         147    -5.45587    -5.45547 6.98974e-05
         148    -5.45405    -5.45546 7.00826e-05
         149    -5.45509    -5.45546 6.96559e-05
         150    -5.45473    -5.45545  6.9359e-05
         151    -5.45531    -5.45545 6.89062e-05
         152    -5.45478    -5.45545 6.85952e-05
         153    -5.45697    -5.45546 6.88691e-05
         154    -5.45646    -5.45546 6.87282e-05
         155    -5.45578    -5.45546 6.83153e-05
         156    -5.45415    -5.45546 6.83924e-05
         157    -5.45562    -5.45546 6.79652e-05
         158    -5.45511    -5.45545 6.75712e-05
         159    -5.45656    -5.45546 6.75052e-05
         160    -5.45484    -5.45546 6.71959e-05
         161    -5.45559    -5.45546 6.67838e-05
         162    -5.45514    -5.45546 6.63997e-05
         163    -5.45439    -5.45545 6.63125e-05
         164     -5.4558    -5.45545 6.59421e-05
         165    -5.45343    -5.45544 6.66731e-05
         166    -5.45619    -5.45544  6.6426e-05
         167     -5.4542    -5.45544 6.64456e-05
         168     -5.4556    -5.45544 6.60568e-05
         169    -5.45479    -5.45543  6.5777e-05
         170    -5.45506    -5.45543 6.54262e-05
         171    -5.45576    -5.45543  6.5071e-05
         172    -5.45394    -5.45542 6.52658e-05
         173    -5.45533    -5.45542 6.48908e-05
         174    -5.45637    -5.45543 6.47445e-05
         175    -5.45558    -5.45543 6.43801e-05
         176    -5.45604    -5.45543 6.41084e-05
         177    -5.45667    -5.45544 6.41263e-05
         178    -5.45555    -5.45544 6.37689e-05
         179    -5.45614    -5.45545 6.35328e-05
         180    -5.45572    -5.45545 6.31983e-05
         181    -5.45692    -5.45546 6.33732e-05
         182    -5.45556    -5.45546 6.30275e-05
         183    -5.45497    -5.45545 6.27386e-05
         184    -5.45616    -5.45546  6.2515e-05
         185    -5.45601    -5.45546 6.22473e-05
         186    -5.45578    -5.45546 6.19358e-05
         187    -5.45482    -5.45546 6.16995e-05
         188    -5.45495    -5.45546 6.14309e-05
         189    -5.45629    -5.45546 6.12637e-05
         190    -5.45512    -5.45546 6.09675e-05
         191    -5.45659    -5.45546 6.09341e-05
         192    -5.45575    -5.45547 6.06352e-05
         193    -5.45411    -5.45546 6.07279e-05
         194    -5.45452    -5.45545 6.06068e-05
         195    -5.45679    -5.45546 6.06822e-05
         196    -5.45581    -5.45546 6.03981e-05
         197    -5.45728    -5.45547 6.07913e-05
         198    -5.45612    -5.45547 6.05713e-05
         199    -5.45607    -5.45548 6.03418e-05
         200    -5.45526    -5.45548 6.00496e-05
