           1    0.505926
           2    0.504398
           3    0.508179
           4    0.510046
           5    0.507611
           1    0.505926
           2    0.504398
           3    0.508179
           4    0.510046
           5    0.507611
           6    0.507222
           7    0.508955
           8    0.508495
           9    0.509609
          10    0.510315
           1    0.508991
           2    0.509484
           3    0.509329
           4    0.509788
           5    0.509323
           6    0.508914
           7    0.508816
           8    0.508907
           9    0.509056
          10    0.509183
          11    0.509104
          12    0.508969
          13    0.508937
          14    0.508973
          15    0.508977
          16    0.508744
          17    0.508752
          18    0.508792
          19    0.508714
          20    0.508698
           1    0.505111
           2    0.503178
           3    0.502869
           4    0.502777
           5    0.502988
           6    0.502701
           7    0.502532
           8    0.502374
           9    0.502338
          10    0.502273
          11    0.501857
          12    0.501764
          13    0.501776
          14    0.501786
          15    0.501825
          16    0.501779
          17    0.501536
          18    0.501575
          19    0.501674
          20     0.50155
           1    0.577398
           2     0.57809
           3    0.578313
           4    0.578641
           5    0.578115
           6    0.577719
           7       0.578
           8    0.577876
           9    0.577848
          10    0.577809
          11    0.577762
          12    0.577545
          13    0.577496
          14    0.577438
          15    0.577419
          16    0.577344
          17     0.57744
          18    0.577418
          19    0.577383
          20    0.577341
           1    0.509274
           2    0.509323
           3    0.508879
           4    0.509183
           5    0.508923
           6    0.508977
           7     0.50884
           8    0.508698
           9    0.508583
          10    0.508658
          11    0.508629
          12    0.508545
          13     0.50856
          14    0.508555
          15    0.508606
          16    0.508642
          17    0.508533
          18    0.508588
          19    0.508628
          20    0.508588
          21    0.508627
          22    0.508641
          23    0.508663
          24    0.508616
          25    0.508608
          26    0.508679
          27    0.508651
          28    0.508666
          29    0.508691
          30    0.508665
          31    0.508709
          32    0.508697
          33    0.508699
          34    0.508629
          35    0.508604
          36    0.508626
          37    0.508595
          38    0.508609
          39    0.508608
          40    0.508563
          41    0.508511
          42    0.508502
          43    0.508486
          44    0.508501
          45    0.508499
          46    0.508492
          47    0.508504
          48      0.5085
          49     0.50851
          50    0.508546
