#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -96.5936    -96.5936           0
           2    -96.5871    -96.5903  0.00229745
           3     -96.581    -96.5872  0.00295685
           4    -96.6121    -96.5934  0.00581989
           5    -96.5843    -96.5916  0.00493183
           6    -96.5825    -96.5901  0.00433688
           7    -96.5794    -96.5886  0.00397855
           8    -96.5863    -96.5883    0.003491
           9    -96.5832    -96.5877  0.00314828
          10    -96.5958    -96.5885  0.00293654
          11    -96.5933     -96.589   0.0027015
          12    -96.5701    -96.5874  0.00289982
          13    -96.5848    -96.5872  0.00268368
          14    -96.5925    -96.5876  0.00251832
          15    -96.6003    -96.5884  0.00249003
          16    -96.5947    -96.5888  0.00236497
          17    -96.5729    -96.5879  0.00240303
          18     -96.609     -96.589  0.00254056
          19    -96.5953    -96.5894  0.00242803
          20    -96.5726    -96.5885   0.0024479
          21    -96.6119    -96.5896   0.0025709
          22    -96.6019    -96.5902  0.00251403
          23    -96.5837    -96.5899  0.00242074
          24    -96.5914      -96.59  0.00232069
          25    -96.5757    -96.5894  0.00229666
          26    -96.6002    -96.5898  0.00224549
          27    -96.5765    -96.5893   0.0022156
          28    -96.5936    -96.5895  0.00214166
          29    -96.6004    -96.5899  0.00210043
          30    -96.5721    -96.5893  0.00211198
          31    -96.5912    -96.5893   0.0020448
          32    -96.6003    -96.5897  0.00200947
          33    -96.6042    -96.5901  0.00199594
          34    -96.5599    -96.5892  0.00212545
          35    -96.5829     -96.589  0.00207236
          36    -96.5976    -96.5893   0.0020285
          37    -96.5903    -96.5893  0.00197385
          38    -96.5783     -96.589  0.00194312
          39    -96.5783    -96.5888  0.00191251
          40    -96.5993     -96.589  0.00188265
          41    -96.5831    -96.5889  0.00184222
          42    -96.5772    -96.5886  0.00181909
          43    -96.5755    -96.5883  0.00180208
          44    -96.5965    -96.5885  0.00177087
          45    -96.5939    -96.5886  0.00173561
          46    -96.5922    -96.5887  0.00169966
          47    -96.5898    -96.5887  0.00166366
          48    -96.5821    -96.5886  0.00163467
          49    -96.5955    -96.5887  0.00160749
          50    -96.5983    -96.5889  0.00158672
