#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         169         0.8         0.8 5.06167e-09
         170         0.8         0.8 4.98164e-09
         171         0.8         0.8 4.83458e-09
         172         0.8         0.8  4.8205e-09
         173         0.8         0.8 4.67113e-09
         174         0.8         0.8 4.58868e-09
         175         0.8         0.8 4.57555e-09
         176         0.8         0.8 4.49287e-09
         177         0.8         0.8  4.4096e-09
         178         0.8         0.8  4.3972e-09
         179         0.8         0.8 4.24109e-09
         180         0.8         0.8 4.22929e-09
         181         0.8         0.8 4.06956e-09
         182         0.8         0.8  3.9825e-09
         183         0.8         0.8 3.97161e-09
         184         0.8         0.8 3.80541e-09
         185         0.8         0.8 3.79511e-09
         186         0.8         0.8 3.70521e-09
         187         0.8         0.8 3.69529e-09
         188         0.8         0.8 3.52157e-09
         189         0.8         0.8 3.51224e-09
         190         0.8         0.8   3.332e-09
         191         0.8         0.8 3.32327e-09
         192         0.8         0.8  3.2262e-09
         193         0.8         0.8  3.0338e-09
         194         0.8         0.8 3.02597e-09
         195         0.8         0.8 2.92236e-09
         196         0.8         0.8 3.01049e-09
         197         0.8         0.8  2.8089e-09
         198         0.8         0.8  2.8018e-09
         199         0.8         0.8 2.58743e-09
         200         0.8         0.8 2.58096e-09
