#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         175     7.58994     6.85061   0.0875309
         176     7.23792     6.85281   0.0870613
         177     7.26713     6.85516   0.0866009
         178     7.47814     6.85866    0.086185
         179     7.22991     6.86073   0.0857285
         180     7.30083     6.86317   0.0852871
         181     7.15705      6.8648   0.0848313
         182     6.94788     6.86525   0.0843665
         183     6.79044     6.86485   0.0839064
         184     6.97412     6.86544   0.0834525
         185       7.018     6.86626   0.0830055
         186     6.83578      6.8661   0.0825594
         187     6.62849     6.86483   0.0821277
         188     6.62778     6.86357   0.0817005
         189     6.81587     6.86332   0.0812686
         190     6.93252     6.86368   0.0808417
         191     6.96434     6.86421   0.0804202
         192      7.1474     6.86568   0.0800148
         193     7.25342     6.86769   0.0796255
         194     7.15092     6.86915   0.0792284
         195     7.12134     6.87044   0.0788327
         196     7.20267     6.87214   0.0784487
         197     6.97615     6.87267   0.0780523
         198      6.9834     6.87323   0.0776601
         199     7.20397     6.87489   0.0772876
         200     7.13487     6.87619   0.0769121
         201     6.98181     6.87671   0.0765312
         202     7.06348     6.87764   0.0761579
         203     7.40048     6.88021   0.0758263
         204     7.35483     6.88254   0.0754903
         205      7.5471     6.88578   0.0751916
         206     7.85312     6.89048   0.0749731
         207     8.44399     6.89798   0.0749856
         208     7.98058     6.90319   0.0748055
         209     8.06422     6.90874   0.0746536
         210     7.94125     6.91366   0.0744598
         211     7.81524     6.91793   0.0742294
         212     7.66098     6.92144    0.073962
         213     7.86112     6.92585   0.0737462
         214     8.16571     6.93164   0.0736288
         215      8.4062      6.9385   0.0736051
         216     8.04877     6.94364   0.0734436
         217     8.30056      6.9499   0.0733709
         218     7.93769     6.95443   0.0731741
         219     7.71895     6.95792   0.0729232
         220     7.83888     6.96192   0.0727016
         221     7.71373     6.96532   0.0724521
         222     7.72441     6.96874   0.0722064
         223     7.47117       6.971   0.0719178
         224     7.41151     6.97296   0.0716236
         225     7.52398     6.97541   0.0713471
         226     7.83949     6.97923   0.0711338
         227     7.96463     6.98358   0.0709528
         228     7.78476     6.98709   0.0707285
         229     7.89859     6.99107   0.0705316
         230     7.65629     6.99396   0.0702842
         231     7.81827     6.99753   0.0700705
         232     7.65116     7.00035   0.0698251
         233     7.74087     7.00353   0.0695977
         234     8.05365     7.00801   0.0694448
         235     8.01836     7.01231   0.0692822
         236     7.88227       7.016   0.0690866
         237     7.96858     7.02002    0.068912
         238     7.74818     7.02308   0.0686903
         239     7.42531     7.02476   0.0684235
         240     7.17622     7.02539   0.0681413
         241      7.2581     7.02636   0.0678654
         242     7.62132     7.02882   0.0676295
         243     7.70982     7.03162   0.0674092
         244     7.64305     7.03412   0.0671795
         245     7.74437     7.03702   0.0669678
         246     7.45635     7.03873   0.0667173
         247     7.58223     7.04093   0.0664835
         248     7.81194     7.04404    0.066288
         249      7.8929     7.04745   0.0661094
         250     7.70483     7.05008   0.0658973
