#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.545       1.545           0
           2       1.545       1.545           0
           3       1.545       1.545 1.21667e-08
           4       1.545       1.545           0
           5       1.545       1.545           0
           6       1.545       1.545 1.21667e-08
           7       1.545       1.545 1.37958e-08
           8       1.545       1.545 1.05367e-08
           9       1.545       1.545 9.93411e-09
          10       1.545       1.545   6.664e-09
          11       1.545       1.545 6.35388e-09
          12       1.545       1.545 6.08337e-09
          13       1.545       1.545 8.26568e-09
          14       1.545       1.545 7.96501e-09
          15       1.545       1.545 9.42432e-09
          16       1.545       1.545 9.12506e-09
          17       1.545       1.545 8.85261e-09
          18       1.545       1.545 1.11067e-08
          19       1.545       1.545 1.08104e-08
          20       1.545       1.545 1.05367e-08
          21       1.545       1.545 1.02828e-08
          22       1.545       1.545 1.10052e-08
          23       1.545       1.545 8.78823e-09
          24       1.545       1.545 8.60319e-09
          25       1.545       1.545 7.30005e-09
          26       1.545       1.545 7.15829e-09
          27       1.545       1.545           0
          28       1.545       1.545           0
          29       1.545       1.545 3.91324e-09
          30       1.545       1.545 3.84746e-09
          31       1.545       1.545 6.55564e-09
          32       1.545       1.545 6.45239e-09
          33       1.545       1.545 6.35388e-09
          34       1.545       1.545 7.22812e-09
          35       1.545       1.545 8.72523e-09
          36       1.545       1.545 8.60319e-09
          37       1.545       1.545 9.16607e-09
          38       1.545       1.545 9.04466e-09
          39       1.545       1.545 8.92795e-09
          40       1.545       1.545 9.42432e-09
          41       1.545       1.545 9.87335e-09
          42       1.545       1.545  9.7551e-09
          43       1.545       1.545   9.641e-09
          44       1.545       1.545 9.53081e-09
          45       1.545       1.545 9.42432e-09
          46       1.545       1.545 9.82553e-09
          47       1.545       1.545 1.06482e-08
          48       1.545       1.545 1.05367e-08
          49       1.545       1.545 1.04286e-08
          50       1.545       1.545 1.03238e-08
