#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         167     1.20399     1.20255 0.000301127
         168     1.19651     1.20251 0.000301473
         169     1.20455     1.20253 0.000299929
         170     1.20101     1.20252 0.000298298
         171     1.19912      1.2025 0.000297214
         172     1.20469     1.20251  0.00029576
         173         1.2      1.2025 0.000294406
         174     1.20246      1.2025 0.000292714
         175     1.20658     1.20252 0.000291969
         176     1.19885      1.2025 0.000291054
         177     1.19958     1.20248 0.000289878
         178     1.20089     1.20247 0.000288387
         179     1.21001     1.20252 0.000289833
         180     1.19184     1.20246 0.000294223
         181     1.20202     1.20245 0.000292607
         182     1.19521     1.20241 0.000293697
         183     1.19926      1.2024 0.000292596
         184      1.2037      1.2024 0.000291091
         185     1.19801     1.20238 0.000290485
         186     1.19936     1.20236 0.000289377
         187     1.20553     1.20238 0.000288324
         188     1.20766     1.20241 0.000288156
         189     1.19758     1.20238 0.000287762
         190     1.20441     1.20239 0.000286446
         191     1.19939     1.20238 0.000285376
         192     1.20581      1.2024 0.000284449
         193     1.20483     1.20241 0.000283255
         194     1.20068      1.2024 0.000281936
         195     1.20427     1.20241 0.000280652
         196     1.19759     1.20238 0.000280297
         197     1.20482      1.2024 0.000279147
         198     1.20308      1.2024 0.000277759
         199     1.20078     1.20239 0.000276482
         200     1.20437      1.2024 0.000275276
         201     1.20775     1.20243 0.000275192
         202     1.20111     1.20242 0.000273906
         203     1.20142     1.20242 0.000272602
         204     1.21113     1.20246 0.000274589
         205     1.19517     1.20242 0.000275544
         206      1.2027     1.20243  0.00027421
         207     1.20084     1.20242 0.000272993
         208      1.1951     1.20238  0.00027394
         209     1.21147     1.20243 0.000276061
         210     1.20115     1.20242 0.000274814
         211       1.205     1.20243 0.000273783
         212     1.20077     1.20242 0.000272604
         213     1.20168     1.20242 0.000271346
         214     1.20165     1.20242 0.000270102
         215     1.20293     1.20242 0.000268856
         216     1.20448     1.20243  0.00026778
         217     1.20194     1.20243 0.000266556
         218     1.21134     1.20247  0.00026845
         219     1.19931     1.20245 0.000267612
         220     1.19524     1.20242 0.000268398
         221     1.20449     1.20243 0.000267348
         222     1.20353     1.20244 0.000266189
         223     1.20337     1.20244 0.000265029
         224     1.20014     1.20243 0.000264044
         225     1.21117     1.20247 0.000265715
         226     1.19626     1.20244 0.000265954
         227     1.20284     1.20244 0.000264789
         228     1.20391     1.20245 0.000263705
         229     1.20258     1.20245 0.000262554
         230     1.19658     1.20242  0.00026265
         231     1.20801     1.20245 0.000262623
         232     1.20093     1.20244 0.000261572
         233     1.20648     1.20246 0.000261022
         234     1.21305      1.2025 0.000263798
         235     1.19656     1.20248 0.000263885
         236     1.19854     1.20246 0.000263294
         237     1.19788     1.20244 0.000262892
         238      1.2005     1.20243 0.000261914
         239     1.20627     1.20245 0.000261309
         240     1.20335     1.20245 0.000260248
         241     1.19003      1.2024 0.000264222
         242     1.20411     1.20241 0.000263224
         243      1.2043     1.20242 0.000262256
         244     1.21078     1.20245 0.000263409
         245     1.20214     1.20245 0.000262337
         246     1.20901     1.20248 0.000262623
         247      1.2018     1.20247 0.000261574
         248     1.20297     1.20248 0.000260527
         249     1.20429     1.20248 0.000259582
         250     1.20107     1.20248 0.000258605
