#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         153   0.0645945   0.0633879 0.000131573
         154   0.0630334   0.0633856 0.000130739
         155   0.0638189   0.0633884 0.000129925
         156   0.0638998   0.0633917 0.000129133
         157   0.0656619   0.0634061 0.000129118
         158    0.064043   0.0634102 0.000128364
         159   0.0643023   0.0634158 0.000127679
         160   0.0640635   0.0634198 0.000126945
         161   0.0656902   0.0634339 0.000126937
         162   0.0652213    0.063445 0.000126632
         163   0.0642349   0.0634498 0.000125948
         164    0.064187   0.0634543 0.000125261
         165   0.0638536   0.0634567 0.000124525
         166   0.0646861   0.0634641 0.000123995
         167   0.0645899   0.0634709 0.000123435
         168    0.064047   0.0634743 0.000122748
         169   0.0632803   0.0634732 0.000122027
         170   0.0634661   0.0634731 0.000121309
         171   0.0638909   0.0634756 0.000120625
         172   0.0630703   0.0634732 0.000119946
         173   0.0643358   0.0634782 0.000119357
         174   0.0641336    0.063482  0.00011873
         175    0.064879   0.0634899  0.00011832
         176     0.06468   0.0634967  0.00011784
         177   0.0650431   0.0635054 0.000117498
         178   0.0638414   0.0635073 0.000116853
         179   0.0637718   0.0635088  0.00011621
         180   0.0643275   0.0635134 0.000115653
         181   0.0644712   0.0635186 0.000115135
         182   0.0653537   0.0635287 0.000114943
         183   0.0658057   0.0635412 0.000114986
         184   0.0653489    0.063551  0.00011478
         185   0.0644406   0.0635558 0.000114261
         186   0.0637411   0.0635568 0.000113651
         187   0.0631675   0.0635547 0.000113062
         188   0.0640733   0.0635575 0.000112494
         189   0.0647815   0.0635639 0.000112085
         190   0.0631385   0.0635617 0.000111518
         191   0.0637318   0.0635626 0.000110937
         192   0.0635483   0.0635625  0.00011036
         193   0.0650433   0.0635702 0.000110054
         194   0.0659399   0.0635824 0.000110163
         195   0.0651303   0.0635904 0.000109883
         196   0.0644452   0.0635947 0.000109409
         197   0.0646752   0.0636002 0.000108991
         198    0.064366   0.0636041 0.000108509
         199   0.0640836   0.0636065 0.000107991
         200   0.0655416   0.0636162 0.000107884
