#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0437589  -0.0437589           0
           2   -0.159043   -0.101401   0.0407591
           3   -0.259848   -0.154217   0.0509709
           4   -0.304974   -0.191906   0.0502669
           5   -0.362001   -0.225925   0.0504277
           6   -0.367454   -0.249513   0.0472188
           7   -0.357004   -0.264869   0.0428975
           8   -0.356498   -0.276323   0.0390345
           9   -0.361711    -0.28581   0.0358317
          10   -0.358191   -0.293048   0.0329715
          11   -0.361805   -0.299299   0.0305608
          12   -0.367416   -0.304975   0.0285364
          13   -0.357938   -0.309049   0.0266305
          14   -0.388391   -0.314717   0.0253242
          15   -0.388201   -0.319616   0.0241051
          16   -0.337438    -0.32073   0.0226243
          17   -0.426092   -0.326927   0.0221261
          18   -0.434622    -0.33291   0.0216907
          19   -0.427965   -0.337913   0.0211182
          20   -0.448829   -0.343459   0.0207777
          21   -0.458724   -0.348948   0.0205004
          22   -0.465834   -0.354261   0.0202454
          23   -0.387165   -0.355691   0.0194156
          24   -0.429002   -0.358746   0.0188454
          25   -0.393349    -0.36013   0.0181423
          26   -0.381795   -0.360963   0.0174637
          27    -0.38392   -0.361814   0.0168375
          28   -0.396766   -0.363062   0.0162824
          29   -0.378599   -0.363598   0.0157298
          30   -0.359059   -0.363446   0.0152062
          31   -0.354679   -0.363164   0.0147183
          32   -0.355589   -0.362927   0.0142602
          33   -0.334356   -0.362061   0.0138544
          34   -0.380047    -0.36259    0.013457
          35   -0.371869   -0.362855   0.0130751
          36   -0.382023   -0.363388   0.0127227
          37   -0.334194   -0.362599   0.0124033
          38   -0.368062   -0.362742   0.0120778
          39   -0.380893   -0.363208    0.011777
          40   -0.379187   -0.363607   0.0114894
          41   -0.372776   -0.363831   0.0112113
          42   -0.373613   -0.364064   0.0109468
          43   -0.373479   -0.364283   0.0106944
          44    -0.44133   -0.366034   0.0105938
          45   -0.418433   -0.367198   0.0104221
          46   -0.375577    -0.36738   0.0101972
          47    -0.37769     -0.3676  0.00998256
          48   -0.354148    -0.36732  0.00977852
          49   -0.372094   -0.367417  0.00957944
          50   -0.378335   -0.367635  0.00939034
          51   -0.363203   -0.367548  0.00920662
          52   -0.342628   -0.367069  0.00904204
          53   -0.334387   -0.366453  0.00889243
          54   -0.348131   -0.366113  0.00873423
          55   -0.390666    -0.36656  0.00858682
          56   -0.351813   -0.366296  0.00843753
          57   -0.391817   -0.366744  0.00830137
          58   -0.452003   -0.368214  0.00828737
          59    -0.38473   -0.368494  0.00815163
          60   -0.359324   -0.368341   0.0080172
          61   -0.357118   -0.368157  0.00788788
          62   -0.381602   -0.368374  0.00776364
          63   -0.430804   -0.369365  0.00770339
          64   -0.417819   -0.370122  0.00762014
          65   -0.439318   -0.371187   0.0075769
          66   -0.351074   -0.370882  0.00746823
          67   -0.324761   -0.370193  0.00738842
          68   -0.350176   -0.369899  0.00728563
          69   -0.316162    -0.36912  0.00722154
          70   -0.335961   -0.368647   0.0071339
          71   -0.358523   -0.368504  0.00703484
          72    -0.42298   -0.369261  0.00697771
          73   -0.421003   -0.369969  0.00691803
          74   -0.389014   -0.370227  0.00682933
          75   -0.341766   -0.369847   0.0067488
          76   -0.363805   -0.369768  0.00666047
          77   -0.376036   -0.369849  0.00657447
          78    -0.36931   -0.369842  0.00649018
          79   -0.385374   -0.370039  0.00641101
          80   -0.403011   -0.370451   0.0063441
          81   -0.390074   -0.370693  0.00627041
          82   -0.407038   -0.371137  0.00620958
          83   -0.412224   -0.371632  0.00615447
          84   -0.383295    -0.37177  0.00608277
          85   -0.446417   -0.372649  0.00607427
          86   -0.437159   -0.373399  0.00604978
          87   -0.399996   -0.373704  0.00598796
          88   -0.426244   -0.374301   0.0059496
          89   -0.356986   -0.374107  0.00588593
          90   -0.375928   -0.374127  0.00582057
          91   -0.389729   -0.374299  0.00575913
          92   -0.397995   -0.374556  0.00570229
          93   -0.384648   -0.374665  0.00564201
          94   -0.408545   -0.375025  0.00559349
          95   -0.417023   -0.375467  0.00555205
          96   -0.408375    -0.37581  0.00550479
          97   -0.424391   -0.376311  0.00547077
          98   -0.440755   -0.376968  0.00545433
          99   -0.429038   -0.377494  0.00542453
         100   -0.395772   -0.377677  0.00537337
         101   -0.445349   -0.378347  0.00536178
         102   -0.368549   -0.378251  0.00531007
         103   -0.349337    -0.37797  0.00526593
         104   -0.395988   -0.378144  0.00521815
         105   -0.396817   -0.378321  0.00517148
         106   -0.374574   -0.378286  0.00512281
         107   -0.380976   -0.378311    0.005075
         108   -0.390274   -0.378422  0.00502921
         109   -0.434396   -0.378936  0.00500922
         110   -0.386723   -0.379006  0.00496419
         111   -0.395989   -0.379159  0.00492182
         112     -0.3825   -0.379189  0.00487797
         113   -0.372393   -0.379129  0.00483517
         114   -0.379712   -0.379134  0.00479276
         115   -0.350395   -0.378884  0.00475759
         116   -0.400387    -0.37907  0.00472019
         117   -0.380949   -0.379086  0.00467987
         118   -0.395758   -0.379227  0.00464235
         119    -0.32764   -0.378793  0.00462353
         120   -0.346044   -0.378521  0.00459305
         121   -0.352918   -0.378309  0.00455996
         122   -0.411774   -0.378583  0.00453083
         123   -0.427558   -0.378981  0.00451145
         124   -0.421501   -0.379324  0.00448808
         125   -0.450222   -0.379892  0.00448787
         126   -0.427953   -0.380273  0.00446843
         127   -0.417924   -0.380569  0.00444307
         128   -0.382416   -0.380584  0.00440839
         129   -0.368131   -0.380487  0.00437527
         130   -0.347285   -0.380232  0.00434906
         131   -0.355467   -0.380043  0.00431997
         132   -0.399763   -0.380192  0.00428982
         133   -0.404845   -0.380378  0.00426157
         134   -0.423302   -0.380698  0.00424179
         135   -0.381459   -0.380704  0.00421038
         136   -0.368645   -0.380615  0.00418035
         137   -0.375917   -0.380581  0.00414998
         138   -0.361347   -0.380441  0.00412225
         139    -0.35457   -0.380255  0.00409679
         140   -0.362447   -0.380128   0.0040695
         141    -0.37278   -0.380076  0.00404097
