#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.05        1.05           0
           2        1.05        1.05           0
           3        1.05        1.05           0
           4        1.05        1.05           0
           5        1.05        1.05           0
           6        1.05        1.05 6.08337e-09
           7        1.05        1.05 5.63211e-09
           8        1.05        1.05 5.26836e-09
           9        1.05        1.05 4.96705e-09
          10        1.05        1.05  8.1617e-09
          11        1.05        1.05 7.78188e-09
          12        1.05        1.05 7.45058e-09
          13        1.05        1.05 9.24131e-09
          14        1.05        1.05 8.90515e-09
          15        1.05        1.05 8.60319e-09
          16        1.05        1.05    8.33e-09
          17        1.05        1.05 8.08129e-09
          18        1.05        1.05 7.02447e-09
          19        1.05        1.05 6.83712e-09
          20        1.05        1.05   6.664e-09
