#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -2.11986    -2.11986           0
           2    -2.11988    -2.11987 5.24508e-06
           3    -2.11981    -2.11985 1.50595e-05
           4    -2.11986    -2.11985 1.15696e-05
           5    -2.11985    -2.11985 9.28744e-06
           6    -2.11988    -2.11986 8.58736e-06
           7    -2.11989    -2.11986 8.93689e-06
           8    -2.11989    -2.11986   8.286e-06
           9    -2.11989    -2.11987 7.80035e-06
          10    -2.11986    -2.11987 7.06486e-06
          11    -2.11988    -2.11987 6.48368e-06
          12    -2.11988    -2.11987 6.00667e-06
          13    -2.11986    -2.11987 5.55182e-06
          14     -2.1199    -2.11987 5.69687e-06
          15    -2.11984    -2.11987 5.60117e-06
          16    -2.11986    -2.11987 5.30292e-06
          17    -2.11985    -2.11987 5.06511e-06
          18    -2.11989    -2.11987 4.97706e-06
          19    -2.11985    -2.11987 4.81578e-06
          20    -2.11988    -2.11987 4.60956e-06
