#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.86137     1.81119  0.00279007
         169     1.75667     1.81086  0.00279215
         170     1.76014     1.81057  0.00279162
         171     1.78671     1.81043  0.00277878
         172     1.81142     1.81043  0.00276263
         173     1.80215     1.81038  0.00274708
         174     1.84679     1.81059  0.00273925
         175     1.81077     1.81059  0.00272359
         176     1.84302     1.81078  0.00271434
         177     1.77391     1.81057  0.00270699
         178     1.78554     1.81043  0.00269543
         179     1.80041     1.81037  0.00268095
         180     1.77844      1.8102  0.00267192
         181     1.83684     1.81034  0.00266121
         182     1.81496     1.81037  0.00264671
         183     1.77648     1.81018  0.00263872
         184      1.7824     1.81003  0.00262869
         185     1.77089     1.80982  0.00262298
         186     1.72526     1.80937  0.00264799
         187     1.75429     1.80907  0.00265016
         188     1.79611       1.809  0.00263696
         189     1.83115     1.80912  0.00262561
         190      1.8094     1.80912  0.00261179
         191     1.82088     1.80918  0.00259884
         192     1.80169     1.80914   0.0025856
         193     1.79831     1.80909  0.00257281
         194     1.77278      1.8089  0.00256635
         195     1.80706     1.80889   0.0025532
         196     1.80614     1.80888  0.00254021
         197     1.83197       1.809  0.00253002
         198     1.79491     1.80892  0.00251825
         199     1.82651     1.80901  0.00250714
         200     1.79763     1.80896  0.00249525
