#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       1.575       1.575           0
           2       1.575       1.575           0
           3       1.575       1.575           0
           4       1.575       1.575           0
           5       1.575       1.575           0
           6       1.575       1.575 8.60319e-09
           7       1.575       1.575 7.96501e-09
           8       1.575       1.575 7.45058e-09
           9       1.575       1.575 7.02447e-09
          10       1.575       1.575   6.664e-09
          11       1.575       1.575 1.10052e-08
          12       1.575       1.575 1.05367e-08
          13       1.575       1.575 1.01233e-08
          14       1.575       1.575  9.7551e-09
          15       1.575       1.575 1.08823e-08
          16       1.575       1.575 1.05367e-08
          17       1.575       1.575 1.02221e-08
          18       1.575       1.575 1.11067e-08
          19       1.575       1.575 1.08104e-08
          20       1.575       1.575 1.05367e-08
