#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    0.766055    0.766055           0
           2    0.764216    0.765135 0.000650026
           3    0.767325    0.765865 0.000736897
           4    0.766316    0.765978  0.00056123
           5    0.761442    0.765071 0.000927371
           6     0.76425    0.764934 0.000782829
           7    0.770324    0.765704 0.000979012
           8    0.762883    0.765351 0.000917933
           9    0.761967    0.764975 0.000889661
          10    0.761237    0.764602 0.000875707
          11    0.763961    0.764543 0.000798031
          12    0.760276    0.764188 0.000806886
          13    0.762328    0.764045 0.000757394
          14    0.764286    0.764062 0.000703491
          15     0.76048    0.763823  0.00069595
          16    0.759414    0.763548 0.000704911
          17    0.765666    0.763672 0.000674374
          18     0.76323    0.763648 0.000637355
          19     0.76216    0.763569 0.000608597
          20    0.761542    0.763468 0.000586552
