#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         153   0.0473645   0.0496613 0.000152776
         154   0.0523198   0.0496786 0.000152756
         155   0.0488047    0.049673 0.000151875
         156   0.0485085   0.0496655 0.000151085
         157   0.0493776   0.0496637 0.000150133
         158   0.0478997   0.0496525 0.000149598
         159   0.0501136   0.0496554 0.000148685
         160   0.0463442   0.0496347 0.000149189
         161   0.0498613   0.0496361 0.000148269
         162   0.0507441    0.049643 0.000147511
         163   0.0485153    0.049636 0.000146769
         164   0.0483477   0.0496282 0.000146084
         165   0.0479001   0.0496177 0.000145573
         166   0.0468882   0.0496013 0.000145622
         167   0.0492587   0.0495992 0.000144765
         168   0.0554103   0.0496338 0.000147978
         169   0.0469861   0.0496181 0.000147929
         170   0.0497953   0.0496192 0.000147062
         171    0.049038   0.0496158 0.000146242
         172     0.05085    0.049623 0.000145567
         173   0.0484112    0.049616 0.000144894
         174   0.0486143   0.0496102 0.000144176
         175   0.0482115   0.0496022 0.000143573
         176   0.0495802   0.0496021 0.000142758
         177   0.0483451    0.049595 0.000142128
         178   0.0482064   0.0495872 0.000141543
         179   0.0524832   0.0496034 0.000141674
         180   0.0487212   0.0495985 0.000140972
         181   0.0459318   0.0495782 0.000141641
         182   0.0509347   0.0495857 0.000141059
         183   0.0514807    0.049596 0.000140667
         184   0.0498578   0.0495974  0.00013991
         185   0.0487168   0.0495927 0.000139235
         186   0.0472238   0.0495799 0.000139067
         187   0.0524491   0.0495953 0.000139168
         188   0.0522627   0.0496095 0.000139149
         189   0.0518693   0.0496214 0.000138925
         190   0.0513374   0.0496305 0.000138487
         191   0.0485256   0.0496247 0.000137883
         192   0.0518599   0.0496363 0.000137655
         193   0.0504819   0.0496407 0.000137012
         194   0.0461749   0.0496228 0.000137465
         195   0.0521458   0.0496358 0.000137368
         196   0.0499873   0.0496376 0.000136679
         197   0.0522603   0.0496509 0.000136632
         198   0.0500042   0.0496527 0.000135953
         199   0.0510766   0.0496598 0.000135458
         200   0.0479413   0.0496512 0.000135053
