           2   -0.462224  0.00166064
         1.9   -0.483312  0.00114107
         1.8   -0.504896  0.00146362
         1.7    -0.52808  0.00122706
         1.6    -0.55428 0.000940961
         1.5    -0.58256  0.00141738
         1.4   -0.614136  0.00129709
         1.3   -0.646104  0.00155076
         1.2   -0.684232  0.00175404
         1.1   -0.724464  0.00165725
           1   -0.760768  0.00311321
         0.9   -0.800664  0.00348677
         0.8   -0.847912  0.00434905
         0.7   -0.895688  0.00359127
         0.6   -0.928944  0.00619236
         0.5   -0.965136  0.00818758
         0.4   -0.996176  0.00201967
         0.3   -0.999976 2.27684e-05
