           2      1.3628  0.00266782
         1.9      1.5123  0.00345015
         1.8       1.688   0.0040827
         1.7     1.90465  0.00499188
         1.6     2.18023  0.00539318
         1.5     2.52044  0.00670287
         1.4     2.97641  0.00612954
         1.3     3.58415  0.00601418
         1.2     4.40471   0.0128642
         1.1     5.59376   0.0201129
           1     7.37966   0.0251024
         0.9     10.2102   0.0548869
         0.8     15.1643   0.0796073
         0.7     24.5728    0.144737
         0.6     44.4559    0.302213
         0.5     78.9904    0.590797
         0.4     120.453    0.320213
         0.3     166.522   0.0458086
