           2     1.32265   0.0305862
         1.9     1.46482   0.0370745
         1.8      1.6276   0.0526699
         1.7     1.82707   0.0573971
         1.6     2.11511   0.0705641
         1.5     2.44724   0.0548101
         1.4     2.94135   0.0591209
         1.3     3.52268   0.0994175
         1.2     4.39116    0.195324
         1.1     6.06709    0.227634
           1     7.94346    0.466049
         0.9     10.6037     0.84569
         0.8      17.255     1.34914
         0.7     27.5352     2.30962
         0.6     42.8661     3.71756
         0.5     70.1806     8.23168
         0.4     120.863      2.5833
         0.3     166.659  0.00728589
