           2      1.3643   0.0044791
         1.9      1.5162    0.006045
         1.8     1.69904   0.0056755
         1.7     1.92986  0.00692427
         1.6     2.20968    0.008681
         1.5      2.5744   0.0132178
         1.4     3.06491    0.017072
         1.3     3.75064   0.0239986
         1.2     4.65648   0.0292125
         1.1     6.02458   0.0537517
           1      8.1666   0.0987012
         0.9     11.7055    0.124787
         0.8     18.5217    0.267801
         0.7     31.9126    0.354684
         0.6      57.674    0.831799
         0.5     89.5649    0.644275
         0.4     123.695    0.183466
         0.3     166.657  0.00494012
