#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -50.6844    -50.6844           0
           2    -50.5972    -50.6408   0.0308575
           3    -50.6331    -50.6382   0.0206775
           4    -50.6353    -50.6375   0.0155209
           5    -50.6461    -50.6392   0.0125121
           6    -50.6536    -50.6416   0.0106518
           7    -50.6308    -50.6401  0.00924166
           8    -50.6035    -50.6355  0.00914764
           9    -50.6498    -50.6371  0.00826853
          10    -50.6114    -50.6345  0.00783048
          11    -50.6088    -50.6322  0.00745883
          12     -50.615    -50.6308  0.00697271
          13    -50.6504    -50.6323  0.00659807
          14    -50.6107    -50.6307  0.00630449
          15    -50.6451    -50.6317  0.00595653
          16    -50.6163    -50.6307  0.00566171
          17    -50.5986    -50.6288  0.00563602
          18    -50.6555    -50.6303  0.00551452
          19    -50.6295    -50.6303  0.00522447
          20    -50.6082    -50.6292  0.00507798
