#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.96        1.96           0
           2        1.96        1.96           0
           3        1.96        1.96           0
           4        1.96        1.96           0
           5        1.96        1.96           0
           6        1.96        1.96           0
           7        1.96        1.96 7.96501e-09
           8        1.96        1.96 7.45058e-09
           9        1.96        1.96 7.02447e-09
          10        1.96        1.96   6.664e-09
          11        1.96        1.96 1.27078e-08
          12        1.96        1.96 1.21667e-08
          13        1.96        1.96 1.16894e-08
          14        1.96        1.96 1.37958e-08
          15        1.96        1.96  1.3328e-08
          16        1.96        1.96 1.29048e-08
          17        1.96        1.96 1.02221e-08
          18        1.96        1.96 8.60319e-09
          19        1.96        1.96 9.66915e-09
          20        1.96        1.96 9.42432e-09
