#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -275.297    -275.297           0
           2    -275.263     -275.28   0.0121337
           3    -275.276    -275.279   0.0081566
           4    -275.278    -275.278  0.00611996
           5    -275.281    -275.279  0.00490989
           6    -275.285     -275.28  0.00419554
           7    -275.274    -275.279  0.00367369
           8    -275.267    -275.278  0.00349581
           9    -275.281    -275.278  0.00313002
          10    -275.267    -275.277  0.00299759
          11    -275.266    -275.276  0.00288578
          12    -275.268    -275.275  0.00272153
          13     -275.28    -275.276  0.00254201
          14    -275.268    -275.275  0.00242025
          15    -275.283    -275.276  0.00231156
          16     -275.27    -275.275   0.0021905
          17     -275.26    -275.274  0.00224874
          18    -275.283    -275.275  0.00217544
          19    -275.274    -275.275  0.00206107
          20    -275.264    -275.274   0.0020293
