#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168      1.6815     1.66765  0.00149765
         169     1.65087     1.66755  0.00149208
         170     1.65347     1.66747   0.0014856
         171     1.64086     1.66731  0.00148504
         172      1.6485     1.66721  0.00148043
         173     1.66703      1.6672  0.00147187
         174     1.66598      1.6672  0.00146343
         175      1.6054     1.66684  0.00149707
         176      1.6724     1.66688   0.0014889
         177     1.68744     1.66699  0.00148501
         178     1.67128     1.66702  0.00147686
         179     1.70571     1.66723  0.00148434
         180     1.67624     1.66728  0.00147694
         181     1.69005     1.66741  0.00147413
         182     1.72074      1.6677  0.00149487
         183     1.66238     1.66767  0.00148698
         184     1.66741     1.66767   0.0014789
         185     1.64737     1.66756  0.00147497
         186     1.67627     1.66761  0.00146779
         187     1.66414     1.66759  0.00146006
         188     1.68564     1.66769  0.00145544
         189     1.62876     1.66748  0.00146224
         190     1.66364     1.66746  0.00145469
         191     1.65593      1.6674  0.00144832
         192     1.64666     1.66729   0.0014448
         193     1.62934     1.66709  0.00145064
         194     1.64387     1.66697  0.00144809
         195     1.70476     1.66717  0.00145357
         196      1.6737      1.6672  0.00144654
         197     1.66075     1.66717  0.00143956
         198     1.64601     1.66706  0.00143625
         199     1.65787     1.66702  0.00142978
         200     1.70491      1.6672  0.00143513
         201     1.69071     1.66732  0.00143274
         202     1.64681     1.66722  0.00142924
         203     1.64793     1.66713  0.00142536
         204     1.64203       1.667  0.00142367
         205     1.64168     1.66688  0.00142207
         206     1.65681     1.66683  0.00141601
         207     1.69411     1.66696  0.00141529
         208     1.67784     1.66701  0.00140945
         209     1.68343     1.66709  0.00140489
         210     1.65791     1.66705  0.00139888
         211     1.66369     1.66703  0.00139234
         212     1.69937     1.66719  0.00139411
         213     1.68198     1.66725  0.00138929
         214     1.68451     1.66734  0.00138514
         215     1.64023     1.66721  0.00138442
         216      1.6968     1.66735  0.00138477
         217     1.66549     1.66734  0.00137842
         218     1.66992     1.66735  0.00137214
         219     1.68421     1.66743  0.00136804
         220     1.62479     1.66723  0.00137548
         221     1.67796     1.66728  0.00137011
         222     1.69796     1.66742  0.00137089
         223     1.66242      1.6674  0.00136493
         224     1.65149     1.66733  0.00136068
         225     1.66858     1.66733  0.00135464
         226     1.67562     1.66737  0.00134915
         227     1.65627     1.66732  0.00134409
         228     1.66255      1.6673  0.00133836
         229     1.65643     1.66725  0.00133335
         230     1.66415     1.66724  0.00132762
         231      1.6492     1.66716  0.00132417
         232     1.68011     1.66722  0.00131964
         233     1.64013      1.6671  0.00131909
         234     1.65726     1.66706  0.00131412
         235     1.67183     1.66708  0.00130868
         236      1.6769     1.66712   0.0013038
         237     1.68067     1.66718  0.00129955
         238     1.65728     1.66713  0.00129476
         239     1.67019     1.66715   0.0012894
         240     1.65516      1.6671    0.001285
         241     1.67963     1.66715  0.00128072
         242     1.68712     1.66723  0.00127808
         243     1.66096     1.66721  0.00127308
         244     1.68657     1.66729  0.00127033
         245     1.68365     1.66735  0.00126691
         246     1.65594     1.66731   0.0012626
         247     1.67843     1.66735  0.00125829
         248     1.64439     1.66726  0.00125662
         249     1.68945     1.66735  0.00125473
         250     1.67802     1.66739  0.00125044
