#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         168     1.44701     1.50859  0.00766192
         169     1.61933     1.50925  0.00764455
         170      1.6164     1.50988  0.00762553
         171     1.54558     1.51009  0.00758379
         172     1.65967     1.51096   0.0075894
         173      1.4931     1.51085  0.00754623
         174     1.43517     1.51042  0.00751539
         175     1.83067     1.51225  0.00769202
         176     1.50097     1.51219  0.00764858
         177     1.52874     1.51228  0.00760594
         178      1.5108     1.51227  0.00756321
         179     1.28282     1.51099  0.00762882
         180     1.54193     1.51116  0.00758837
         181     1.44331     1.51079   0.0075557
         182     1.30647     1.50966  0.00759712
         183     1.49875      1.5096  0.00755584
         184     1.44496     1.50925  0.00752294
         185     1.54788     1.50946  0.00748518
         186     1.39376     1.50884  0.00747073
         187     1.55082     1.50906  0.00743415
         188     1.45322     1.50877  0.00740054
         189      1.5868     1.50918   0.0073729
         190      1.4624     1.50893   0.0073382
         191     1.44836     1.50862  0.00730663
         192     1.57972     1.50899  0.00727795
         193     1.61597     1.50954  0.00726132
         194     1.70984     1.51057  0.00729692
         195     1.29199     1.50945   0.0073451
         196      1.4167     1.50898  0.00732285
         197     1.52128     1.50904  0.00728594
         198     1.47408     1.50886  0.00725128
         199      1.5322     1.50898  0.00721579
         200     1.32488     1.50806  0.00723819
         201     1.48603     1.50795  0.00720301
         202     1.65557     1.50868  0.00720433
         203     1.64633     1.50936  0.00720068
         204     1.74229      1.5105  0.00725534
         205     1.53774     1.51064  0.00722117
         206     1.50353      1.5106   0.0071862
         207     1.47951     1.51045  0.00715305
         208     1.42969     1.51006  0.00712919
         209     1.33457     1.50922  0.00714436
         210     1.55063     1.50942  0.00711306
         211     1.60586     1.50988  0.00709402
         212      1.3665      1.5092  0.00709272
         213      1.5524      1.5094  0.00706232
         214     1.43549     1.50906  0.00703776
         215     1.56208      1.5093  0.00700934
         216     1.39724     1.50879  0.00699606
         217     1.61076     1.50926  0.00697959
         218     1.44895     1.50898  0.00695305
         219     1.49178      1.5089  0.00692175
         220     1.72024     1.50986  0.00695663
         221     1.45992     1.50964  0.00692882
         222     1.39848     1.50913  0.00691567
         223     1.49454     1.50907  0.00688497
         224     1.63991     1.50965  0.00687897
         225     1.52436     1.50972  0.00684871
         226     1.52961     1.50981  0.00681897
         227     1.53407     1.50991  0.00678977
         228     1.56716     1.51016  0.00676463
         229     1.64838     1.51077  0.00676196
         230     1.56764     1.51102  0.00673708
         231     1.58775     1.51135   0.0067161
         232     1.45787     1.51112   0.0066911
         233      1.6033     1.51151  0.00667407
         234     1.54449     1.51165  0.00664704
         235     1.44754     1.51138  0.00662435
         236     1.44887     1.51112  0.00660158
         237      1.5502     1.51128  0.00657578
         238     1.63101     1.51178  0.00656737
         239     1.53773     1.51189  0.00654079
         240     1.60393     1.51228  0.00652477
         241     1.45065     1.51202   0.0065027
         242     1.39021     1.51152  0.00649528
         243     1.56437     1.51173  0.00647219
         244     1.57488     1.51199  0.00645084
         245     1.53281     1.51208  0.00642507
         246     1.61579      1.5125  0.00641277
         247     1.50124     1.51245  0.00638697
         248     1.68747     1.51316  0.00640008
         249     1.43738     1.51286  0.00638161
         250     1.46839     1.51268  0.00635856
