#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.99604    -6.21503    0.019024
         153    -6.00194    -6.21363   0.0189506
         154    -6.01695    -6.21236   0.0188706
         155    -5.99055    -6.21092    0.018803
         156    -5.96609    -6.20936   0.0187478
         157    -6.02364    -6.20817   0.0186657
         158    -6.02994    -6.20704   0.0185816
         159    -6.01599    -6.20584   0.0185036
         160     -5.9909     -6.2045   0.0184366
         161    -5.98493    -6.20314   0.0183725
         162    -5.98056    -6.20176   0.0183104
         163    -5.96896    -6.20033   0.0182536
         164    -5.96247    -6.19888   0.0181999
         165    -5.96909    -6.19749   0.0181428
         166    -5.97227    -6.19613   0.0180841
         167    -5.99193    -6.19491   0.0180171
         168      -5.995    -6.19372   0.0179492
         169    -5.98018    -6.19246   0.0178874
         170    -5.96565    -6.19112   0.0178318
         171    -5.97905    -6.18988   0.0177706
         172    -5.98314    -6.18868   0.0177079
         173    -6.03746    -6.18781   0.0176271
         174    -6.04567    -6.18699   0.0175447
         175    -6.02097    -6.18604   0.0174701
         176    -6.02891    -6.18515   0.0173936
         177    -6.02489    -6.18424   0.0173189
         178    -5.98439    -6.18312    0.017258
         179     -6.0081    -6.18214   0.0171892
         180     -5.9915    -6.18108   0.0171263
         181    -6.02158     -6.1802   0.0170544
         182     -6.0623    -6.17955    0.016973
         183    -6.07977    -6.17901    0.016889
         184    -6.07311    -6.17843    0.016807
         185     -6.0624    -6.17781   0.0167279
         186    -6.08888    -6.17733   0.0166447
         187    -6.09182    -6.17687    0.016562
         188    -6.09149    -6.17642   0.0164802
         189    -6.06553    -6.17583   0.0164034
         190    -6.06624    -6.17525   0.0163272
         191    -6.09002    -6.17481   0.0162478
         192    -6.07855    -6.17431   0.0161709
         193    -6.05349    -6.17368   0.0160992
         194    -6.07057    -6.17315    0.016025
         195     -6.0793    -6.17267   0.0159501
         196    -6.06026    -6.17209    0.015879
         197    -6.06629    -6.17156   0.0158075
         198    -6.07554    -6.17107   0.0157351
         199    -6.06896    -6.17056   0.0156644
         200    -6.06016    -6.17001   0.0155958
         201    -6.09835    -6.16965   0.0155223
         202     -6.0766    -6.16919   0.0154522
         203    -6.03232    -6.16851   0.0153908
         204    -6.03794    -6.16787   0.0153287
         205    -6.03141    -6.16721   0.0152684
         206    -6.00876    -6.16644   0.0152136
         207    -5.94782    -6.16538   0.0151767
         208    -5.96808    -6.16444   0.0151334
         209    -5.93204    -6.16332   0.0151018
         210    -5.94881     -6.1623   0.0150644
         211    -5.97016    -6.16139   0.0150205
         212    -5.97943    -6.16053   0.0149741
         213    -5.95012    -6.15955   0.0149364
         214    -5.92332    -6.15844   0.0149073
         215    -5.92374    -6.15735   0.0148779
         216     -5.9607    -6.15644   0.0148368
         217     -5.9197    -6.15535   0.0148085
         218    -5.93865    -6.15435   0.0147739
         219    -5.97031    -6.15351   0.0147303
         220    -5.95746    -6.15262   0.0146903
         221    -5.93807    -6.15165   0.0146559
         222    -5.96915    -6.15083   0.0146129
         223    -6.02303    -6.15026   0.0145586
         224    -6.02111    -6.14968    0.014505
         225     -5.9979    -6.14901   0.0144562
         226    -5.95232    -6.14814   0.0144184
         227    -5.93098    -6.14718   0.0143866
         228    -5.97074     -6.1464   0.0143443
         229     -5.9542    -6.14557   0.0143062
         230    -5.96419    -6.14478   0.0142657
         231    -5.96547      -6.144   0.0142251
         232    -5.98257     -6.1433   0.0141808
         233    -5.97672    -6.14259   0.0141379
         234    -5.95472    -6.14179   0.0141003
         235    -5.94058    -6.14093   0.0140662
         236    -5.90975    -6.13995   0.0140407
         237    -5.86218    -6.13878   0.0140303
         238    -5.90941    -6.13782   0.0140044
         239    -5.94513    -6.13701    0.013969
         240    -5.98435    -6.13637   0.0139253
         241    -5.99969    -6.13581    0.013879
         242    -5.95541    -6.13506   0.0138417
         243      -5.956    -6.13432   0.0138043
         244    -5.97421    -6.13367   0.0137633
         245    -5.98146    -6.13305   0.0137212
         246    -6.00231    -6.13251   0.0136757
         247    -5.98142     -6.1319    0.013634
         248    -5.96685    -6.13124   0.0135953
         249    -5.95612    -6.13053   0.0135588
         250     -5.9534    -6.12983   0.0135231
