#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         168      1.3583     1.40059  0.00449308
         169     1.49549     1.40116  0.00450145
         170     1.38286     1.40105  0.00447626
         171     1.46034     1.40139  0.00446349
         172     1.33806     1.40103   0.0044527
         173     1.36538     1.40082  0.00443173
         174     1.33133     1.40042  0.00442421
         175     1.46494     1.40079  0.00441427
         176     1.42078      1.4009  0.00439065
         177      1.4474     1.40117  0.00437369
         178     1.33506     1.40079  0.00436486
         179     1.32527     1.40037  0.00436082
         180      1.3163     1.39991  0.00436154
         181     1.39859      1.3999  0.00433745
         182     1.52185     1.40057  0.00436507
         183     1.36494     1.40037  0.00434555
         184     1.30341     1.39985  0.00435377
         185      1.4216     1.39996  0.00433182
         186     1.40063     1.39997  0.00430853
         187     1.44634     1.40022  0.00429263
         188      1.3737     1.40007  0.00427211
         189     1.33325     1.39972  0.00426411
         190     1.37332     1.39958  0.00424393
         191     1.26998      1.3989  0.00427562
         192      1.3839     1.39883  0.00425406
         193     1.41073     1.39889  0.00423247
         194     1.32706     1.39852  0.00422682
         195     1.49921     1.39903  0.00423657
         196     1.32873     1.39867  0.00423011
         197     1.36497      1.3985   0.0042121
         198     1.30499     1.39803  0.00421722
         199     1.39527     1.39802  0.00419605
         200     1.49225     1.39849  0.00420144
