#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   -0.152778   -0.152778           0
           2   -0.125683   -0.139231  0.00957936
           3   -0.102504   -0.126988   0.0118616
           4   -0.122982   -0.125987  0.00893839
           5  -0.0938231   -0.119554  0.00917807
           6    -0.08542   -0.113865  0.00924493
           7  -0.0996446   -0.111834  0.00814438
           8   -0.100138   -0.110372  0.00725635
           9  -0.0968631   -0.108871  0.00660349
          10   -0.091345   -0.107118  0.00617133
