           2     1.35966  0.00451256
         1.9     1.50929  0.00612385
         1.8     1.68377  0.00623057
         1.7     1.89739  0.00591424
         1.6     2.17638  0.00801305
         1.5     2.52868   0.0103056
         1.4     2.92643   0.0128114
         1.3      3.5442   0.0162004
         1.2     4.42892   0.0252898
         1.1     5.61026   0.0317557
           1      7.4759   0.0486813
         0.9     10.3887   0.0953802
         0.8     15.4116    0.142393
         0.7     24.5006    0.344317
         0.6     43.9452    0.640861
         0.5     78.9862     0.82192
         0.4     121.409    0.477999
         0.3     166.616   0.0300485
