#   N_BLOCK:  ACCEPTANCE:
           1           0
           2           0
           3           0
           4       7e-05
           5     5.6e-05
           6 4.66667e-05
           7       4e-05
           8     3.5e-05
           9 3.11111e-05
          10     2.8e-05
