         0.3   -0.999932 4.07823e-05
         0.4   -0.995966 0.000809419
         0.5   -0.972516  0.00150655
         0.6   -0.933262  0.00141247
         0.7   -0.891486   0.0011104
         0.8   -0.849555 0.000924809
         0.9   -0.804436 0.000780859
           1   -0.762558 0.000774031
         1.1   -0.721442 0.000702405
         1.2   -0.682791 0.000658877
         1.3   -0.646424 0.000703994
         1.4   -0.613094 0.000644368
         1.5   -0.583233 0.000650265
         1.6   -0.554575 0.000633051
         1.7    -0.52855 0.000518611
         1.8   -0.504519 0.000543317
         1.9   -0.482828 0.000542234
           2   -0.461889 0.000569377
