           2     1.37683  0.00208037
         1.9     1.52874   0.0025585
         1.8     1.71572   0.0019289
         1.7     1.94371  0.00412885
         1.6     2.23258   0.0045072
         1.5     2.59955  0.00564781
         1.4     3.07832   0.0080133
         1.3     3.75024  0.00891048
         1.2     4.67752   0.0140827
         1.1     6.07062   0.0185198
           1     8.23695   0.0289777
         0.9     11.8285   0.0443768
         0.8     18.7249   0.0994219
         0.7     32.1842     0.16359
         0.6     56.8056     0.33971
         0.5     90.4741    0.184224
         0.4     123.831   0.0621549
         0.3     166.619   0.0157256
