           2    0.197509  0.00024282
         1.9     0.21362 0.000249157
         1.8    0.231226 0.000251041
         1.7    0.251126 0.000226909
         1.6    0.272788 0.000294658
         1.5    0.296465 0.000415658
         1.4    0.322676 0.000374918
         1.3    0.349925 0.000429585
         1.2    0.379506 0.000605868
         1.1     0.41038 0.000792591
           1    0.438903 0.000948171
         0.9    0.470325 0.000989155
         0.8    0.501095  0.00138159
         0.7    0.529821  0.00149239
         0.6    0.486815  0.00256046
         0.5    0.259309  0.00362302
         0.4   0.0490984  0.00369974
         0.3  0.00253097 0.000652212
