           1    0.534022
           2    0.533741
           3    0.533581
           4    0.533474
           5    0.533443
           6    0.533619
           7    0.533555
           8     0.53349
           9     0.53343
          10    0.533513
          11    0.533514
          12    0.533524
          13    0.533517
          14    0.533495
          15    0.533487
          16    0.533455
          17    0.533484
          18    0.533472
          19    0.533488
          20    0.533541
           1     0.51332
           2    0.513125
           3    0.513168
           4    0.512918
           5    0.512938
           6    0.513108
           7    0.513073
           8     0.51306
           9    0.512973
          10    0.513024
          11    0.513028
          12    0.512999
          13    0.512966
          14    0.512953
          15    0.512961
          16    0.512962
          17    0.512959
          18    0.512907
          19     0.51292
          20    0.512934
           1    0.490719
           2    0.490768
           3    0.490912
           4    0.490685
           5    0.490674
           6    0.490692
           7    0.490699
           8    0.490632
           9    0.490612
          10    0.490675
          11    0.490693
          12    0.490726
          13    0.490724
          14    0.490697
          15    0.490713
          16    0.490722
          17    0.490715
          18    0.490663
          19     0.49068
          20    0.490697
           1     0.46633
           2    0.466929
           3    0.466921
           4    0.466654
           5    0.466754
           6    0.466887
           7    0.466852
           8    0.466789
           9    0.466741
          10    0.466783
          11    0.466688
          12    0.466731
          13    0.466704
          14    0.466696
          15    0.466702
          16    0.466674
          17     0.46669
          18    0.466664
          19    0.466699
          20    0.466686
           1    0.440692
           2    0.440574
           3    0.440454
           4     0.44022
           5    0.440174
           6    0.440279
           7    0.440245
           8    0.440227
           9    0.440201
          10    0.440261
          11    0.440261
          12    0.440322
          13    0.440311
          14    0.440317
          15    0.440354
          16    0.440323
          17     0.44035
          18     0.44034
          19    0.440344
          20    0.440382
           1    0.411995
           2    0.412201
           3    0.412286
           4    0.412207
           5    0.412011
           6    0.412114
           7    0.412099
           8    0.412086
           9    0.412083
          10    0.412114
          11    0.412116
          12    0.412151
          13    0.412192
          14    0.412165
          15    0.412165
          16    0.412184
          17    0.412181
          18     0.41219
          19    0.412191
          20    0.412209
           1    0.381482
           2    0.381556
           3    0.381523
           4    0.381569
           5    0.381381
           6    0.381434
           7    0.381497
           8    0.381425
           9    0.381423
          10    0.381435
          11    0.381432
          12    0.381466
          13    0.381473
          14     0.38144
          15    0.381481
          16    0.381534
          17    0.381508
          18    0.381444
          19    0.381468
          20    0.381509
           1    0.348381
           2    0.348155
           3    0.348068
           4    0.347996
           5    0.347802
           6    0.347714
           7    0.347699
           8    0.347643
           9     0.34771
          10    0.347724
          11    0.347726
          12    0.347793
          13    0.347833
          14    0.347859
          15    0.347891
