           2     1.36719   0.0335678
         1.9     1.55099   0.0358921
         1.8     1.67137   0.0358683
         1.7     1.84066    0.030054
         1.6     2.24364    0.044362
         1.5     2.60246   0.0488141
         1.4     3.07262   0.0681758
         1.3     3.61464    0.139001
         1.2     4.34239    0.163077
         1.1     5.38772    0.192002
           1     7.21095    0.346631
         0.9     10.0544    0.698881
         0.8       15.63      0.8112
         0.7     24.2547     1.82399
         0.6     46.8108     3.18794
         0.5     64.4403     5.97113
         0.4     117.589     3.04328
         0.3     166.658  0.00842431
